fight_id,fighter_1,fighter_1_id,fighter_2,fighter_2_id,winner,decision_method,fight_duration_lastrnd,fight_duration_lastrnd_time,time_format,weight_class,date,location
a1db4c917777aa79,Joe Charles,19ffeb5e3fffd6d5,Kevin Rosier,598a58db87b890ee,Joe Charles,Submission,1,0:14,No Time Limit,Open Weight Bout,"December 16, 1994","Tulsa, Oklahoma, USA"
b297c3e938e1005e,Joel Sutton,a6a9ab5a824e8f66,Jack McGlaughlin,237187ed9f419285,Joel Sutton,KO/TKO,1,2:01,1 Rnd (20),Open Weight Bout,"July 14, 1995","Casper, Wyoming, USA"
4b334c9727eee450,Joel Sutton,a6a9ab5a824e8f66,Geza Kalman,304fcd812f12c589,Joel Sutton,TKO - Doctor's Stoppage,1,0:48,1 Rnd (20),Open Weight Bout,"September 08, 1995","Buffalo, New York, USA"
6449a1a9a69a830c,Joe Charles,19ffeb5e3fffd6d5,Scott Bessac,3f24c96753dbd9f9,Joe Charles,Submission,1,4:38,1 Rnd (15),Open Weight Bout,"December 16, 1995","Denver, Colorado, USA"
5701dbbbfa4f8313,Sam Adkins,0e9869d712e81f8f,Keith Mielke,f62850b3c7480db9,Sam Adkins,KO/TKO,1,0:50,1 Rnd (10),Open Weight Bout,"February 16, 1996","San Juan, Puerto Rico"
c413b0abc04358c3,Scott Ferrozzo,977081bc01197656,Sam Fulton,1f5f75658551f2d3,Scott Ferrozzo,Submission,1,1:45,1 Rnd (15),Open Weight Bout,"September 20, 1996","Augusta, Georgia, USA"
a5c90086fb65f58e,Mark Hall,18524b46c570730b,Felix Lee Mitchell,6cbb7661c3258617,Mark Hall,KO/TKO,1,1:45,1 Rnd + OT (12-3),Open Weight Bout,"December 07, 1996","Birmingham, Alabama, USA"
565ecefd8a37ad7e,Nick Sanzo,1d147d4163a6989b,Jackie Lee,4985113c0928aa62,Nick Sanzo,KO/TKO,1,0:48,1 Rnd + OT (12-3),Lightweight Bout,"February 07, 1997","Dothan, Alabama, USA"
b80872821bc4f6ba,Laverne Clark,1c2f2571b18791b6,Josh Stuart,601cf40c09090853,Laverne Clark,KO/TKO,1,1:15,1 Rnd (12),Lightweight Bout,"March 13, 1998","New Orleans, Louisiana, USA"
4bce0ce561a65288,Chris Brennan,b19fc66613dc75b9,Courtney Turner,56f4b81ec4db61af,Chris Brennan,Submission,1,1:20,1 Rnd (12),Lightweight Bout,"March 13, 1998","New Orleans, Louisiana, USA"
77bf1e37929b0d59,Justin Martin,3da19339ee7051d5,Eric Martin,abbc4fc02e0d84b3,Justin Martin,Submission,1,0:14,1 Rnd + OT (12-3),Heavyweight Bout,"February 07, 1997","Dothan, Alabama, USA"
d93c8c77e1091a16,Steve Nelmark,13e62d766b709aa6,Marcus Bossett,e8fb8e53bc2e29d6,Steve Nelmark,Submission,1,1:37,1 Rnd + OT (12-3),Open Weight Bout,"December 07, 1996","Birmingham, Alabama, USA"
2f449bd58b3d9a99,Tai Bowden,2efbc83a6b9b7f86,Jack Nilson,53e533db1b8e9712,Tai Bowden,KO/TKO,1,4:46,1 Rnd + OT (12-3),Open Weight Bout,"December 07, 1996","Birmingham, Alabama, USA"
3badedeb2c5533f4,Roberto Traven,20ec0061400178ca,Dave Berry,b3bbe88fecd6a0d2,Roberto Traven,KO/TKO,1,1:33,1 Rnd (15),Open Weight Bout,"September 20, 1996","Augusta, Georgia, USA"
f59b1215176636f6,Sam Adkins,0e9869d712e81f8f,Felix Lee Mitchell,6cbb7661c3258617,Sam Adkins,Decision - Unanimous,2,3:00,1 Rnd + OT (12-3),Open Weight Bout,"July 12, 1996","Birmingham, Alabama, USA"
7ffcc3a72e082ace,Mark Hall,18524b46c570730b,Trent Jenkins,02fc8f50f56eb307,Mark Hall,Submission,1,5:29,1 Rnd (15),Open Weight Bout,"December 16, 1995","Denver, Colorado, USA"
e4fe950846b51bdf,Onassis Parungao,96d173b7f92aa520,Francesco Maturi,d3b5ad3b15a64a18,Onassis Parungao,KO/TKO,1,5:26,1 Rnd (20),Open Weight Bout,"September 08, 1995","Buffalo, New York, USA"
8e03db41687d9132,Anthony Macias,dedc3bb440d09554,He-Man Gipson,3e03cec9767d37e6,Anthony Macias,KO/TKO,1,3:06,1 Rnd (20),Open Weight Bout,"July 14, 1995","Casper, Wyoming, USA"
b80e6a799c95d499,Marcus Bossett,e8fb8e53bc2e29d6,Eldo Xavier Dias,ee5df903f80c6816,Marcus Bossett,KO/TKO,1,4:55,No Time Limit,Open Weight Bout,"December 16, 1994","Tulsa, Oklahoma, USA"
635fbf57001897c7,Cesar Marscucci,e8efeb9cf33b1941,Paulo Santos,7ca4c3f8aa8bacae,Cesar Marscucci,KO/TKO,1,10:27,1 Rnd + OT (12-3),Lightweight Bout,"October 16, 1998","Sao Paulo, Brazil"
8b258bbb37f74a66,Andre Roberts,a54a35a670d8e852,Harry Moskowitz,4dc496aa0cfc0d95,Andre Roberts,Decision - Unanimous,2,3:00,1 Rnd + OT (12-3),Heavyweight Bout,"May 15, 1998","Mobile, Alabama, USA"
